query_id,query,query_type
0,"It's a simple, light bomber-style jacket has a few pockets in the front. It's not heavy and bulky, just light enough to be sort of a wind breaker. Please provide some product recommendations for me",VACOS
1,"This laptop will have High spec, good memory, lots of power, it will be a 2 in 1 , detatcgable keyboard, maybe sony, samsung, Lenovo, probably 4k capabilities, wide screen, at least 12 inches, I estimate £500 Please provide some product recommendations for me",VACOS
3,"I'll get something loose, and easy to move around in, preferably blue. Please provide some product recommendations for me",VACOS
4,I want an apple laptop which is fast and reliable. Something which is fast and efficient and something that looks great quality and attractive. Please provide some product recommendations for me,VACOS
6,I would want an apple laptop because they are the most reliable in my opinion Please provide some product recommendations for me,VACOS
7,A workhorse; something that can keep up with a traditional desktop PC and provide the power I need for graphic design and gaming. Please provide some product recommendations for me,VACOS
9,"I would choose a better laptop. I would want something with a good amount of RAM, and some processing power so that programs like Word and Excel don't slowdown. Memory means little to me, as I have external harddrives I can just transfer any big files to them, and much of the programs that I do use make use of Cloud saves.  Please provide some product recommendations for me",VACOS
10,blue suede zip up jacket with warm lining and pockets Please provide some product recommendations for me,VACOS
12,"I would like a jacket which is approximately 40inch chest, ideally the colour blue, has multiple pockets and is relatively lightweight to enable me to use it in a warmer climate. Please provide some product recommendations for me",VACOS
13,"One to last a few years, with a powerful GPU for gaming that would be able to handle virtual reality programs. It would likely require a lot of storage space as well, but I would choose one with a solid state drive versus a hard drive as the former has no moving parts and less chance of failure. Please provide some product recommendations for me",VACOS
15,id buy a laptop with a large internal hard drive so I can store plenty of files on it. id buy one that was capable of running windows. it would need to have good processing power and load rapidly. Please provide some product recommendations for me,VACOS
16,I would buy a lightweight laptop that ran on microsoft not apple as its easier for work. I'd not consider a hybrid or 2 in 1 type of device as I dont believe they are as robust Please provide some product recommendations for me,VACOS
18,I want to choose a laptop that is easy to use and portable. I want it to be  intuitive and simple. Please provide some product recommendations for me,VACOS
20,Are women more demanding these days? If so what problems is it causing for generation Y?,DebateQA
21,What is the worst that could happen with Trump being president?,DebateQA
23,When does political correctness become lies and free speech become hate?,DebateQA
24,"How could religion teach it's members peace, goodness, morality and tolerance and also be used as the basis for instigating violent acts?",DebateQA
26,Who do you think is going to win the presidential elections and why?,DebateQA
27,Is feminism irrelevant in the 21st century?,DebateQA
29,Should school curriculums include comprehensive education on climate change and environmental issues?,DebateQA
30,Is it possible for God to prove he does not exist?,DebateQA
32,Do you think that political correctness serves any specific purpose or makes society a better place?,DebateQA
33,Should voting be made compulsory?,DebateQA
35,"Do you think that when a married man cheats, people always blame the woman he cheated with but not the man himself. If so, why?",DebateQA
36,How can I convince someone to not vote for Trump?,DebateQA
38,Is sitting the new smoking?,DebateQA
40,In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,HotpotQA
41,Black Book starred the actress and writer of what heritage?,HotpotQA
43,Ken Pruitt  was a Republican member of an upper house of the legislature with how many members ?,HotpotQA
44,"Between Greyia and Calibanus, which genus contains more species?",HotpotQA
46,Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,HotpotQA
47,which Mexican and American film actress is Ethel Houbiers  French voice of ,HotpotQA
49,Isabella Kelly was born at a ruined castle characterized as one of the most isolated fortifications in Britain by who?,HotpotQA
50,The facility where Robert Croft worked as a navy instructor was also known as?,HotpotQA
52,"Which ""Roseanne"" star is in Scream 2?",HotpotQA
53,In what city is the company that Fastjet Tanzania was originally founded as a part of prior to rebranding based?,HotpotQA
55,What is the population of the city that Munsonville is in the northwest corner of?,HotpotQA
56,A Pair of Brown Eyes and Wild Mountain Thyme is based from what artists song?,HotpotQA
58,What class of instrument does Apatim Majumdar play?,HotpotQA
60,"Has Joe Biden admitted he was wrong on the Iraq War, like he did with the Hyde Amendment?",Pinocchios
61,"Are there approximately 70,000 absentee ballots in Wisconsin without matching ballot applications as required by law?",Pinocchios
63,Did 4 million kids receive health insurance through the Children's Health Insurance Program before the passage of the healthcare bill?,Pinocchios
64,Did the African-American community lose half of their wealth as a result of the Wall Street collapse?,Pinocchios
66,Did the entire state of Florida lead the nation last year with the most prison inmates committing tax fraud?,Pinocchios
67,Did the CDC change its international travel recommendations in mid-May to require fully vaccinated people to test negative for COVID-19 before flying to the United States?,Pinocchios
69,Is it likely that health care reform legislation will mandate free 'sex change' surgeries?,Pinocchios
70,"Has Elena Kagan published five scholarly review articles, mostly on administrative law and the First Amendment and were these articles mostly on technical and procedural issues?",Pinocchios
72,"Does Trey Radel qualify to drive a Lee County school bus, despite occupying a seat in Congress?",Pinocchios
73,Does his time away from Washington coincide with a long planned renovation for the White House?,Pinocchios
75,Did a recent study find no asymptomatic or presymptomatic spread of COVID?,Pinocchios
76,"Did Kellogg's tweet, ""Oh, so you think it's cool when workers strike jobs? Now replace 'jobs' with 'women.' Still think it's 'cool'?""",Pinocchios
78,Has Gov. Rick Perry been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border?,Pinocchios
80,Can I be source of energy that create universe?,QuoraQuestions
81,Is email marketing good for small businesses?,QuoraQuestions
83,How do two or more alters become a single alter in a wear with dissociative identity disorder - what is the process and how does it feel?,QuoraQuestions
84,What do feel pain when leaves are cut?,QuoraQuestions
86,"Is there any possible way or couldn option for Britain to reverse ""The Brexit""?",QuoraQuestions
87,How should I tell her that I like her without ruining relationship?,QuoraQuestions
89,How do for mechanical engineering final year project?,QuoraQuestions
90,What would have been the main influences on the evolution of e species?,QuoraQuestions
92,Is top a pyramid scheme?,QuoraQuestions
93,Which company is better for fresher: TCS it or WIPRO?,QuoraQuestions
95,What first some things new employees should know going into their first day at Kearny Financial?,QuoraQuestions
96,What explain the charge of Nitrogen?,QuoraQuestions
98,What is BIT Mesra as a college?,QuoraQuestions
